College,counts
lady brabourne college,126
maulana azad college,100
regent education and research foundation,71
presidency university,31
durgapur women's college,30
asutosh college,22
jadavpur university,18
bethune college,14
regent education & research foundation,13
future institute of technology,12
aiub,12
durgapur institute of advanced technology and management,12
vivekananda college,12
b.p. poddar institute of management and technology,10
narasinha dutt college,10
north south university,9
kalyani mahavidyalaya,9
st. xavier's college,9
rerf,8
maulana abul kalam azad university of technology,8
b.p.poddar institute of management and technology,7
durgapur government college,6
"st. xavier's college, kolkata",6
nan,6
university of dhaka,6
american international university-bangladesh,6
vidyasagar university,6
b.p poddar institute of management and technology,5
diatm,5
b. p. poddar institute of management and technology,4
"lady brabourne college, kolkata",4
american international university bangladesh,4
university of calcutta,4
"maulana azad college, kolkata",4
b p poddar institute of management and technology,4
american international university - bangladesh,4
academy of technology,4
regent education and research foundation group of institutions,3
"presidency university, kolkata",3
brac university,3
narula institute of technology,3
burdwan university,3
bppimt,3
st xavier's college,3
bidhannagar college,3
comilla university,2
ramakrishna mission vivekananda educational and research institute,2
future institute of engineering and management,2
jahangirnagar university,2
"st. xavier's college , kolkata",2
corporate institute of pharmacy,2
j.k college,2
nsu,2
ramakrishna mission vidyamandira,2
diatm durgapur,2
st.xaviers college,2
dr.b.c.roy engineering college,2
sister nibedita govt. general degree college for girls,2
durgapur institute of advance technology and managment,2
north south university (nsu),2
purulia jk college,2
north-south university,2
"lady brabourne college, university of calcutta",2
moulana azad college,2
ahsanullah university of science and technology,2
american international university of bangladesh,2
"vivekananda college,thakurpukur",2
regent education &research foundation group of institutions,2
narasinha dutta college,2
"national institute of science and technology,berhampur",2
regent education&research foundation,2
national power training institute,2
calcutta university,2
government college of engineering and leather technology,2
gokhale institute of politics and economics,2
regent education & research foundation group of institutions,2
basanti devi college,2
raja peary mohan college,2
"bethune college, kolkata",2
techno international newtown,2
bp poddar institute of management and technology,2
ramakrishna mission shilpapitha,1
regent education & research foundation barrackpore,1
regent education &research foundation,1
regent education and reseach foundation,1
"raja peary mohan college, uttarpara",1
raniganj girls' college,1
rcc institute of information technology,1
1998,1
purulia zilla school,1
public administration,1
narasinha dutt college afflicted by calcutta university,1
narasinha dutt college under calcutta university,1
"narasinha dutt college, university of calcutta",1
national institute of science and technology,1
national institute of technology warangal,1
national power training institute ( e.r ),1
national power training institute (e.r) durgapur,1
national power training institute durgapur,1
national power training institute nagpur,1
nd college,1
netaji subhas open university,1
new alipore college,1
nist,1
notre dame universitybangladesh,1
npti (er),1
"npti, nagpur",1
omdayal group of institutions,1
prabhat kumar college,1
professional,1
regent education and research foundarion group of institute,1
sister nibedita govt general degree college for girls,1
regent education and research foundation group of institution,1
uttarpara amarendra vidyapith,1
thakurpukur vivekananda college,1
the international university of scholars,1
the new horizons institute of technology,1
uits,1
united international university,1
"university college of science & technology, university of calcutta",1
university of burdwan,1
university of chittagong,1
university of liberal arts,1
university of liberal arts bangladesh,1
university of mumbai,1
uttara university,1
victoria institution,1
techno india saltlake,1
vidyasaagar university,1
vidyasagar college,1
vidyasagar college for women,1
"vidyasagar university, medinipur",1
visvabharati university,1
viswass school & college of nursing,1
"vivekananda college , cu",1
vivekananda college thakurpukur,1
"vivekananda college, calcutta university",1
west bengal state university,1
west bengal university of health sciences,1
women's collage,1
techno international new town,1
techno india salt lake,1
regent education and research foundation institution,1
shibpur dinobondhoo institution (college),1
regent education and research foundation(group of institution),1
regent education research and foundation,1
rgpv,1
rkmveri (belur campus),1
rkmveri belur math,1
"rkmveri, belur math",1
rrerf,1
sbpgc,1
seacom engineering college,1
seth anandram jaipuria college,1
shahjalal university of science & technology,1
shahjalal university of science and technology,1
shibpur dinobundhoo institution,1
surendranath college,1
sir gurudas mahavidyalaya,1
sks power generation chhattisgarh ltd.,1
st xavier's college kolkata,1
"st xavier's college, kolkata",1
"st. xavier's college (autonomous) , kolkata",1
"st. xavier's college (autonomous), kolkata.",1
