College,counts
1998,1
aasansol girls' college,1
academy of technology,4
acharya institute of management and sciences,1
ahsanullah university of science and technology,2
aiub,12
akpc mahavidyalaya,1
aliah university,1
aiub,4
aiub,4
aiub,2
aiub,1
aiub,1
aiub,6
amity university kolkata,1
amta ramsaday college,1
aot,1
asansol engineering college,1
ashutosh college,1
ashutosh college,22
ashutosh college,1
at. xavier's college,1
b p poddar institute of management & technology,1
b p poddar institute of management & technology,4
b p poddar institute of management & technology,1
b p poddar institute of management & technology,1
b p poddar institute of management & technology,4
b p poddar institute of management & technology,1
b p poddar institute of management & technology,1
b p poddar institute of management & technology,5
b p poddar institute of management & technology,10
b p poddar institute of management & technology,1
b p poddar institute of management & technology,1
b p poddar institute of management & technology,7
b p poddar institute of management & technology,1
b p poddar institute of management & technology,1
b p poddar institute of management & technology,1
bangabandhu sheikh mujibur rahman science & technology,1
bangabandhu sheikh mujibur rahman science & technology,1
bangalore university,1
bangladesh agricultural research institute,1
bangladesh institute of governance and management (bigm),1
basanti devi college,2
basanti devi college,1
belda college,1
bethune college,1
bethune college,1
bethune college,14
bethune college,2
"bharat university, chennai",1
bidhannagar college,3
b p poddar institute of management & technology,2
b p poddar institute of management & technology,3
brabu,1
brac university,3
buet,1
burdwan university,3
calcutta university,2
calcutta university,1
central university of jharkhand,1
"chittaranjan college, kolkata",1
christ university,1
durgapur womens college,1
college of engineering roorkee,1
comilla university,2
corporate institute of pharmacy,2
cummins college of engineering for women,1
daffodil international university,1
calcutta university,1
diatm durgapur,5
diatm durgapur,2
diatm durgapur,1
dr. b. c. roy engineering college,1
dr. b. c. roy engineering college,1
dr. b. c. roy engineering college,1
dr. b. c. roy engineering college,2
duragpur women's college,1
durgapur government college,6
durgapur institute of advance technology and management,1
durgapur institute of advance technology and management,2
durgapur institute of advance technology and management,1
durgapur institute of advance technology and management,1
durgapur institute of advance technology and management,1
durgapur institute of advance technology and management,1
durgapur institute of advance technology and management,12
durgapur institute of advance technology and management,1
durgapur institute of advance technology and management,1
durgapur institute of advance technology and management,1
durgapur woman's college,1
durgapur woman's college,1
durgapur woman's college,1
durgapur woman's college,30
durgapur woman's college,1
durgapur woman's college,1
dyal singh college (day),1
future institute of engineering and management,2
future institute of engineering and management,12
futuretech private iti,1
gauhati university,1
gl bajaj,1
global engineering college,1
global nature care sangathan group of institutions,1
gokhale institute of politics and economics,2
government college of engineering and leather technology,2
green university of bangladesh,1
guru nanak institute of pharmaceutical science and technology,1
hffc,1
home,1
hooghly engineering and technology college,1
hyderabad central university,1
igidr,1
university of dhaka,1
university of dhaka,1
"independent university, bangladesh",1
indian institute of engineering science and technology shibpur,1
"indian institute of foreign trade,kolkata",1
indira gandhi institute of development research,1
indira gandhi national university,1
insitiution of engineering and management,1
insitiution of engineering and management,1
insitiution of engineering and management,1
institution / organization / college name,1
international university of scholars,1
international university of scholars,1
islamic university of technology (iut),1
"islamic university, kushtia",1
university of dhaka,1
"independent university, bangladesh",1
j.k college,2
j.k college,1
j.k college,1
j.k college,1
jadavpur university,18
jadavpur university,1
jagannath kishore college,1
jagannath kishore college,1
jagannath kishore college,1
jahangirnagar university,2
jj glastronics,1
j.k college,1
jogomaya devi college,1
kaji najrul invercity,1
kalyani mahavidyalay,1
kalyani mahavidyalay,9
kerala university,1
lady brabourne college,1
lady brabourne college,1
lady brabourne college,1
lady brabourne college,1
lady brabourne college,126
lady brabourne college,1
lady brabourne college,1
lady brabourne college,4
lady brabourne college,2
lady brabourne college,1
lalbaba college,1
london south bank university,1
mac,1
makaut(formely wbut),1
manipal hospital,1
maulana abul kalam azad university of technology,8
maulana abul kalam azad university of technology,1
maulana azad college,100
maulana azad college,1
maulana azad college,4
maulana azad college,1
maulana azad college,1
maulana azad college,1
maulana azad college,1
maulana azad college,2
mugberia gangadhar mahavidyalaya,1
n.p.t.i(e.r.),1
nan,6
narasinha dutt college,1
narasinha dutt college,10
narasinha dutt college,1
narasinha dutt college,1
narasinha dutt college,1
narasinha dutt college,2
narula institute of technology,3
"national institute of science and technology,berhampur",1
"national institute of science and technology,berhampur",2
national institute of technology warangal,1
national power training institute,2
national power training institute,1
national power training institute,1
national power training institute,1
national power training institute,1
nd college,1
netaji subhas open university,1
new alipore college,1
nist,1
north south university,9
north south university,2
north south university,2
notre dame universitybangladesh,1
npti (er),1
"npti, nagpur",1
north south university,2
omdayal group of institutions,1
prabhat kumar college,1
presidency university,31
presidency university,3
professional,1
public administration,1
purulia jk college,2
purulia zilla school,1
raja peary mohan college,2
raja peary mohan college,1
ramakrishna mission shilpapitha,1
ramakrishna mission vidyamandira,2
ramakrishna mission vivekananda educational and research institute,2
raniganj girls' college,1
rcc institute of information technology,1
regent education and research foundation,13
regent education and research foundation,1
regent education and research foundation,2
regent education and research foundation,1
regent education and research foundation,2
regent education and research foundation,1
regent education and research foundation,1
regent education and research foundation,71
regent education and research foundation,1
regent education and research foundation,3
regent education and research foundation,1
regent education and research foundation,1
regent education and research foundation,1
regent education and research foundation,2
regent education and research foundation,8
rgpv,1
rkmveri belur math,1
rkmveri belur math,1
"rkmveri, belur math",1
rrerf,1
sbpgc,1
seacom engineering college,1
seth anandram jaipuria college,1
shahjalal university of science and technology,1
shahjalal university of science and technology,1
shibpur dinobundhoo institution,1
shibpur dinobundhoo institution,1
sir gurudas mahavidyalaya,1
sister nibedita govt. general degree college for girls,1
sister nibedita govt. general degree college for girls,2
sks power generation chhattisgarh ltd.,1
