Department,dep_counts
3rd year mathematics honours,1
3rd year statistics honours,1
aplied mathematics with oceanology and computer programming,1
applied mathematics,2
applied mathematics in oceanology &computer application,1
applies mathematics,1
atrs,1
b tech,1
b-tech (ece 2'nd year),1
b-tech in ece,1
b. pharmacy,2
b. sc. statistics hons.,2
b. tech,1
b. tech (cse),1
b. tech cse,1
b. tech in chemical engineering,1
b.com,1
b.com (h),1
b.com honours,1
b.sc,1
b.sc (hons.) in statistics,1
"b.sc , honours in maths",1
b.sc honours (computer science),1
b.sc in statistics,1
b.sc nursing,1
b.sc statistics,2
b.sc statistics honours,4
b.sc statistics hons.,1
b.sc.,1
b.sc. in statistics,1
b.sc.(honours) in statistics,1
b.tech,4
b.tech ( cse ),1
b.tech (ece),1
b.tech (it),1
b.tech cse,1
b.tech in cse,1
b.tech in ece,1
b.tech in electronic and communication engineering,1
b.tech in electronics and communication engineering,1
b.tech(cse),2
b.tech(it),1
bachelor's of computer applications,1
bba,11
bca,6
bsc computer science,1
bsc math honours,1
bsc physics honours,1
bsc statistics,2
bsc statistics honours,1
bsc statistics hons,3
bsc(state ),1
bsc. hons,1
bsc. in statistics,1
bsc. statistics,2
bsc. statistics honours student(final year),1
bsc. statistics hons.,1
bsc.stat,1
btech,2
btech 4th year on ece department,1
btech electronics and communication,1
byech,1
civil engineering,1
commerce,2
comp sc.,1
computer science,6
computer science and engineering,5
computer science engineering,3
cse,3
dental surgery,1
did my graduation on mathematics,1
diploma on travel and tourism management,1
ece,3
economics,2
ee,1
eee,1
electrical and electronics engineering,1
electrical engineering,8
electrician,1
electronics and communication engineering,1
electronics and communication engineering (b.tech),1
electronics and communication engineering (b.tech)),1
electronics and communications engineering (b.tech),1
electronics and telecommunication,1
energy engineering,1
engineering,188
english honours,1
filed of study,1
graduate,1
graduation,1
h.s passed,1
honors (bsc/msc),337
independent cyber security researcher,1
information technology,1
instrumentation engineer,1
it,1
leather technology,2
library and information science,1
linear algebra in mathematics,1
m. sc,1
m. sc (applied math),1
m.sc,2
m.sc in applied mathematics,1
m.sc in applied mathematics (2nd sem),1
m.sc in applied mathematics.,1
m.sc in mathematics,4
m.sc in pure mathematics,1
m.sc mathematics,2
m.sc(electronics),1
m.sc. in applied mathematics,2
m.sc. mathematics,1
master of science in applied mathematics,1
math (h),1
mathematics,24
mathematics (msc),1
mathematics honours,1
mathematics honours (msc),1
mathematics msc.,1
mca,2
me,1
mechanical,1
mechanical engineer,1
mechanical engineering,4
microbiology,1
msc,1
msc - mathematics,1
msc data science,1
msc in applied mathematics,4
msc in mathematics,2
msc in pure maths,1
msc mathematics,4
msc statistics,1
msc. mathematics,1
others,92
physics,1
post graduate (mathematics),1
power,1
power engineering,3
power plant engineering,1
pure mathematics,2
r,4
sem 3,1
statistics,42
statistics ( hons.),1
statistics (h),2
statistics (honours),1
statistics (hons),1
statistics 2nd semester,1
statistics honours,14
statistics honours (b.sc.),1
statistics honours student,1
statistics hons,5
statistics hons.,2
ststistics,1
studying m.sc in mathematics,1
thermal power plant engineering,1
yes,1
